task_id,image_path,image_name,original_width,original_height,pupil_center_x,pupil_center_y,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,synthetic_quality
11,clean/00c46f83d574109dd44d9eafc38c59b81d8db4759df6b6bd695809c7c748dc73_left.png,00c46f83d574109dd44d9eafc38c59b81d8db4759df6b6bd695809c7c748dc73_left.png,128,96,59,51,52,47,68,56,16,9,good_for_synthetic
12,clean/00c46f83d574109dd44d9eafc38c59b81d8db4759df6b6bd695809c7c748dc73_right.png,00c46f83d574109dd44d9eafc38c59b81d8db4759df6b6bd695809c7c748dc73_right.png,128,96,61,47,55,42,68,53,13,11,good_for_synthetic
13,clean/00de741a6958f49c60d1adfb163aa84034237768d29ffa17503c127d4912acef_left.png,00de741a6958f49c60d1adfb163aa84034237768d29ffa17503c127d4912acef_left.png,128,96,61,55,57,49,67,59,10,10,bad_for_synthetic
14,clean/00de741a6958f49c60d1adfb163aa84034237768d29ffa17503c127d4912acef_right.png,00de741a6958f49c60d1adfb163aa84034237768d29ffa17503c127d4912acef_right.png,128,96,68,50,60,44,76,57,15,14,bad_for_synthetic
15,clean/00ff3c59737e8d0e39a5a4678c22f2784ff7b0171de77bfb2f2752b218ef0da9_left.png,00ff3c59737e8d0e39a5a4678c22f2784ff7b0171de77bfb2f2752b218ef0da9_left.png,128,96,64,51,59,45,70,56,12,11,good_for_synthetic
16,clean/00ff3c59737e8d0e39a5a4678c22f2784ff7b0171de77bfb2f2752b218ef0da9_right.png,00ff3c59737e8d0e39a5a4678c22f2784ff7b0171de77bfb2f2752b218ef0da9_right.png,128,96,64,49,58,44,71,55,12,11,good_for_synthetic
17,clean/011a1eb3e0f503c79bf0bbb32aafef14d5c483cd8ce69c1e1586df8e114d0ccd_left.png,011a1eb3e0f503c79bf0bbb32aafef14d5c483cd8ce69c1e1586df8e114d0ccd_left.png,128,96,65,53,60,47,71,58,11,11,good_for_synthetic
18,clean/011a1eb3e0f503c79bf0bbb32aafef14d5c483cd8ce69c1e1586df8e114d0ccd_right.png,011a1eb3e0f503c79bf0bbb32aafef14d5c483cd8ce69c1e1586df8e114d0ccd_right.png,128,96,64,47,58,42,70,52,13,11,good_for_synthetic
19,clean/016070293176ec929a4b2adbd766d81fdd1ca5d5b4751c6ad27e24e7d4bb6cc4_left.png,016070293176ec929a4b2adbd766d81fdd1ca5d5b4751c6ad27e24e7d4bb6cc4_left.png,128,96,68,51,63,47,73,56,10,9,good_for_synthetic
20,clean/016070293176ec929a4b2adbd766d81fdd1ca5d5b4751c6ad27e24e7d4bb6cc4_right.png,016070293176ec929a4b2adbd766d81fdd1ca5d5b4751c6ad27e24e7d4bb6cc4_right.png,128,96,64,49,58,44,71,54,13,11,good_for_synthetic
21,clean/018b2022a0b7350b96514c169b36ac9d45e47feec0e016d75c4f13f682d49e2a_left.png,018b2022a0b7350b96514c169b36ac9d45e47feec0e016d75c4f13f682d49e2a_left.png,128,96,68,51,62,44,78,60,16,16,good_for_synthetic
22,clean/018b2022a0b7350b96514c169b36ac9d45e47feec0e016d75c4f13f682d49e2a_right.png,018b2022a0b7350b96514c169b36ac9d45e47feec0e016d75c4f13f682d49e2a_right.png,128,96,70,49,63,42,78,56,14,14,good_for_synthetic
23,clean/019cae624741275e36cc4023bd6b68482b7f4a61b769997e3238684a101db716_left.png,019cae624741275e36cc4023bd6b68482b7f4a61b769997e3238684a101db716_left.png,128,96,63,49,56,42,74,59,17,16,good_for_synthetic
24,clean/019cae624741275e36cc4023bd6b68482b7f4a61b769997e3238684a101db716_right.png,019cae624741275e36cc4023bd6b68482b7f4a61b769997e3238684a101db716_right.png,128,96,63,54,56,45,72,61,16,15,good_for_synthetic
25,clean/0204927cf5b31368d21af3cf1ca8de25c9dcf9c8753a230ac252bfbd8e5a7550_left.png,0204927cf5b31368d21af3cf1ca8de25c9dcf9c8753a230ac252bfbd8e5a7550_left.png,128,96,57,49,47,39,67,56,20,18,good_for_synthetic
26,clean/0204927cf5b31368d21af3cf1ca8de25c9dcf9c8753a230ac252bfbd8e5a7550_right.png,0204927cf5b31368d21af3cf1ca8de25c9dcf9c8753a230ac252bfbd8e5a7550_right.png,128,96,56,46,50,40,66,54,16,14,good_for_synthetic
27,clean/0249ea26cd933df5315100ba390d62b8361b6cb50f6ab78f25c1ecfec2198ce6_left.png,0249ea26cd933df5315100ba390d62b8361b6cb50f6ab78f25c1ecfec2198ce6_left.png,128,96,55,51,50,46,62,59,13,14,good_for_synthetic
28,clean/0249ea26cd933df5315100ba390d62b8361b6cb50f6ab78f25c1ecfec2198ce6_right.png,0249ea26cd933df5315100ba390d62b8361b6cb50f6ab78f25c1ecfec2198ce6_right.png,128,96,63,54,56,48,71,61,15,13,good_for_synthetic
29,clean/024b841d461a56f6874db7defd5b8994927a32e1c9d13d7410976c704679ee7a_left.png,024b841d461a56f6874db7defd5b8994927a32e1c9d13d7410976c704679ee7a_left.png,128,96,57,45,49,41,63,52,15,11,good_for_synthetic
30,clean/024b841d461a56f6874db7defd5b8994927a32e1c9d13d7410976c704679ee7a_right.png,024b841d461a56f6874db7defd5b8994927a32e1c9d13d7410976c704679ee7a_right.png,128,96,64,49,58,44,69,54,11,10,good_for_synthetic
31,clean/0255349e7691bb9208a57a39cf4814244e9587fb6002b8860de3b765fe44f363_left.png,0255349e7691bb9208a57a39cf4814244e9587fb6002b8860de3b765fe44f363_left.png,128,96,58,46,54,43,62,49,8,6,good_for_synthetic
32,clean/0255349e7691bb9208a57a39cf4814244e9587fb6002b8860de3b765fe44f363_right.png,0255349e7691bb9208a57a39cf4814244e9587fb6002b8860de3b765fe44f363_right.png,128,96,64,53,61,49,68,56,7,7,good_for_synthetic
33,clean/029f17aa5879336bd2f16e157d72e8a93a92b4c686f410d7c89c88209981b4fc_left.png,029f17aa5879336bd2f16e157d72e8a93a92b4c686f410d7c89c88209981b4fc_left.png,128,96,64,50,59,47,69,54,10,7,good_for_synthetic
34,clean/029f17aa5879336bd2f16e157d72e8a93a92b4c686f410d7c89c88209981b4fc_right.png,029f17aa5879336bd2f16e157d72e8a93a92b4c686f410d7c89c88209981b4fc_right.png,128,96,61,46,56,42,66,50,10,8,good_for_synthetic
35,clean/02e6c8abbfe0f1a885772ffe5f557b95ccdedcac3fe1dd81b7c0cfaeb06ed534_left.png,02e6c8abbfe0f1a885772ffe5f557b95ccdedcac3fe1dd81b7c0cfaeb06ed534_left.png,128,96,63,48,57,40,71,56,14,16,good_for_synthetic
36,clean/02e6c8abbfe0f1a885772ffe5f557b95ccdedcac3fe1dd81b7c0cfaeb06ed534_right.png,02e6c8abbfe0f1a885772ffe5f557b95ccdedcac3fe1dd81b7c0cfaeb06ed534_right.png,128,96,64,49,59,43,70,53,11,10,good_for_synthetic
37,clean/0304412d0af77bd724ef3bb0f41718c8985c38e1ba040b73c53bb330b9b28c5c_left.png,0304412d0af77bd724ef3bb0f41718c8985c38e1ba040b73c53bb330b9b28c5c_left.png,128,96,63,48,57,44,70,55,13,11,good_for_synthetic
38,clean/0304412d0af77bd724ef3bb0f41718c8985c38e1ba040b73c53bb330b9b28c5c_right.png,0304412d0af77bd724ef3bb0f41718c8985c38e1ba040b73c53bb330b9b28c5c_right.png,128,96,66,49,59,44,74,54,15,10,good_for_synthetic
39,clean/0343637d888e4cc227ec976d2942d8e0944078d3ecbd1c6f6e967cf3c5c91ef3_left.png,0343637d888e4cc227ec976d2942d8e0944078d3ecbd1c6f6e967cf3c5c91ef3_left.png,128,96,70,54,63,49,77,59,14,10,good_for_synthetic
40,clean/0343637d888e4cc227ec976d2942d8e0944078d3ecbd1c6f6e967cf3c5c91ef3_right.png,0343637d888e4cc227ec976d2942d8e0944078d3ecbd1c6f6e967cf3c5c91ef3_right.png,128,96,71,51,65,46,78,56,13,10,good_for_synthetic
41,clean/034ec6d01d209cfe11f1ae70e73d039ab2d59beda727db5794ed4048b9e05f5e_right.png,034ec6d01d209cfe11f1ae70e73d039ab2d59beda727db5794ed4048b9e05f5e_right.png,128,96,70,46,65,41,76,51,10,9,good_for_synthetic
42,clean/03646b6e9c0ee8f72df6f8b1f9c95cbd555301c812f886cc3f408e622a242d5b_left.png,03646b6e9c0ee8f72df6f8b1f9c95cbd555301c812f886cc3f408e622a242d5b_left.png,128,96,59,49,56,46,62,52,6,7,good_for_synthetic
43,clean/03646b6e9c0ee8f72df6f8b1f9c95cbd555301c812f886cc3f408e622a242d5b_right.png,03646b6e9c0ee8f72df6f8b1f9c95cbd555301c812f886cc3f408e622a242d5b_right.png,128,96,64,49,60,45,68,53,8,8,good_for_synthetic
44,clean/03712813fbb5bfb62af2003905f3c05a964b9c064dea08bec57f7fe88b8cf8ee_left.png,03712813fbb5bfb62af2003905f3c05a964b9c064dea08bec57f7fe88b8cf8ee_left.png,128,96,65,48,60,44,70,54,11,10,good_for_synthetic
45,clean/03712813fbb5bfb62af2003905f3c05a964b9c064dea08bec57f7fe88b8cf8ee_right.png,03712813fbb5bfb62af2003905f3c05a964b9c064dea08bec57f7fe88b8cf8ee_right.png,128,96,63,50,59,47,69,56,10,9,good_for_synthetic
46,clean/03a6180a67e33da8cc34d722aa1392908e929ce631940446295616e16c3761d7_left.png,03a6180a67e33da8cc34d722aa1392908e929ce631940446295616e16c3761d7_left.png,128,96,60,52,56,46,66,56,10,10,good_for_synthetic
47,clean/03a6180a67e33da8cc34d722aa1392908e929ce631940446295616e16c3761d7_right.png,03a6180a67e33da8cc34d722aa1392908e929ce631940446295616e16c3761d7_right.png,128,96,64,50,57,45,69,56,12,11,good_for_synthetic
48,clean/04597cbe62e1000f5c820d27c699f13f8d9a36b0cdcbfb67cf783d92de5be14c_left.png,04597cbe62e1000f5c820d27c699f13f8d9a36b0cdcbfb67cf783d92de5be14c_left.png,128,96,58,47,53,43,62,52,9,9,good_for_synthetic
49,clean/04597cbe62e1000f5c820d27c699f13f8d9a36b0cdcbfb67cf783d92de5be14c_right.png,04597cbe62e1000f5c820d27c699f13f8d9a36b0cdcbfb67cf783d92de5be14c_right.png,128,96,59,49,54,44,66,55,12,11,good_for_synthetic
50,clean/04b4eb3a03e24aaf458d369ad4c1684d34ad757286a973d371f450fe8321d251_left.png,04b4eb3a03e24aaf458d369ad4c1684d34ad757286a973d371f450fe8321d251_left.png,128,96,59,48,55,43,65,53,10,10,good_for_synthetic
51,clean/04b4eb3a03e24aaf458d369ad4c1684d34ad757286a973d371f450fe8321d251_right.png,04b4eb3a03e24aaf458d369ad4c1684d34ad757286a973d371f450fe8321d251_right.png,128,96,67,52,62,48,72,58,10,9,good_for_synthetic
52,clean/04e3254b71e911594bbd1caf5b7fc9e153130ea638796848f8ddbc19d8f50852_left.png,04e3254b71e911594bbd1caf5b7fc9e153130ea638796848f8ddbc19d8f50852_left.png,128,96,62,51,56,45,69,57,13,12,bad_for_synthetic
53,clean/04e3254b71e911594bbd1caf5b7fc9e153130ea638796848f8ddbc19d8f50852_right.png,04e3254b71e911594bbd1caf5b7fc9e153130ea638796848f8ddbc19d8f50852_right.png,128,96,59,50,52,44,67,58,14,14,bad_for_synthetic
54,clean/04f60051706f27ed27cdfaec53a43e62d60988ac94e7ad080da5df79545c543b_left.png,04f60051706f27ed27cdfaec53a43e62d60988ac94e7ad080da5df79545c543b_left.png,128,96,64,49,58,46,69,54,11,8,good_for_synthetic
55,clean/04f60051706f27ed27cdfaec53a43e62d60988ac94e7ad080da5df79545c543b_right.png,04f60051706f27ed27cdfaec53a43e62d60988ac94e7ad080da5df79545c543b_right.png,128,96,66,47,57,40,76,54,20,14,good_for_synthetic
56,clean/0504f8276b601bd1f58633d3c9eb1f041389c453acf9ece7b33355e8dd430aa2_left.png,0504f8276b601bd1f58633d3c9eb1f041389c453acf9ece7b33355e8dd430aa2_left.png,128,96,66,50,60,45,72,56,12,10,good_for_synthetic
57,clean/0504f8276b601bd1f58633d3c9eb1f041389c453acf9ece7b33355e8dd430aa2_right.png,0504f8276b601bd1f58633d3c9eb1f041389c453acf9ece7b33355e8dd430aa2_right.png,128,96,71,51,65,45,77,58,12,13,good_for_synthetic
58,clean/05213319d84ff2803ca47689b1f5ddd19402d9444fee081b865540fba8436e6d_left.png,05213319d84ff2803ca47689b1f5ddd19402d9444fee081b865540fba8436e6d_left.png,128,96,56,52,51,47,60,56,9,9,good_for_synthetic
59,clean/05213319d84ff2803ca47689b1f5ddd19402d9444fee081b865540fba8436e6d_right.png,05213319d84ff2803ca47689b1f5ddd19402d9444fee081b865540fba8436e6d_right.png,128,96,56,52,52,47,61,56,9,10,good_for_synthetic
60,clean/054a0815f4d4bbdbff1358b2283221a29c3ba10d75ee53018644b610e81c0221_left.png,054a0815f4d4bbdbff1358b2283221a29c3ba10d75ee53018644b610e81c0221_left.png,128,96,64,50,58,44,70,56,13,13,good_for_synthetic
61,clean/054a0815f4d4bbdbff1358b2283221a29c3ba10d75ee53018644b610e81c0221_right.png,054a0815f4d4bbdbff1358b2283221a29c3ba10d75ee53018644b610e81c0221_right.png,128,96,64,49,59,44,70,55,11,10,good_for_synthetic
62,clean/05524337d39ab98a5cccd738ed78f1463622eb2afff806d88fae3adcb4cf22b4_left.png,05524337d39ab98a5cccd738ed78f1463622eb2afff806d88fae3adcb4cf22b4_left.png,128,96,65,51,60,46,70,55,10,10,good_for_synthetic
63,clean/05524337d39ab98a5cccd738ed78f1463622eb2afff806d88fae3adcb4cf22b4_right.png,05524337d39ab98a5cccd738ed78f1463622eb2afff806d88fae3adcb4cf22b4_right.png,128,96,62,50,57,45,68,55,11,10,good_for_synthetic
64,clean/05602cdce809fb951040d95d7fd5c17c690422920af2b1c70586c2c41f8f6254_left.png,05602cdce809fb951040d95d7fd5c17c690422920af2b1c70586c2c41f8f6254_left.png,128,96,52,52,43,44,62,61,19,17,bad_for_synthetic
65,clean/05aafa3988b3bce5f088dc24bad1be348bfa34c1f2c132d437c01174ec0779ad_right.png,05aafa3988b3bce5f088dc24bad1be348bfa34c1f2c132d437c01174ec0779ad_right.png,128,96,63,48,56,41,69,54,13,13,good_for_synthetic
66,clean/05dde9deab7022bc3ffaee7255416be1e45c349064f7e8690e1bd1e2ae2e90de_left.png,05dde9deab7022bc3ffaee7255416be1e45c349064f7e8690e1bd1e2ae2e90de_left.png,128,96,62,49,55,42,67,55,12,13,good_for_synthetic
67,clean/05dde9deab7022bc3ffaee7255416be1e45c349064f7e8690e1bd1e2ae2e90de_right.png,05dde9deab7022bc3ffaee7255416be1e45c349064f7e8690e1bd1e2ae2e90de_right.png,128,96,70,51,64,47,76,56,11,10,good_for_synthetic
68,clean/05e4a652742d9e6f3497c13d06401c9e95e296f0cc9c4a09a1319d62d05e6877_left.png,05e4a652742d9e6f3497c13d06401c9e95e296f0cc9c4a09a1319d62d05e6877_left.png,128,96,65,46,62,44,68,48,6,5,good_for_synthetic
69,clean/05e4a652742d9e6f3497c13d06401c9e95e296f0cc9c4a09a1319d62d05e6877_right.png,05e4a652742d9e6f3497c13d06401c9e95e296f0cc9c4a09a1319d62d05e6877_right.png,128,96,58,44,52,40,64,50,12,10,good_for_synthetic
70,clean/05e7b7ad3f9c52ed36903d853599638b6ee128b875aaef8420ab25656147e67b_left.png,05e7b7ad3f9c52ed36903d853599638b6ee128b875aaef8420ab25656147e67b_left.png,128,96,62,49,55,44,68,55,13,10,good_for_synthetic
71,clean/05eb05c056530077ec7c082838529cb4db51ac74653d6bbf4c15e6e4871c9222_left.png,05eb05c056530077ec7c082838529cb4db51ac74653d6bbf4c15e6e4871c9222_left.png,128,96,66,55,59,48,73,62,15,15,good_for_synthetic
72,clean/05eb05c056530077ec7c082838529cb4db51ac74653d6bbf4c15e6e4871c9222_right.png,05eb05c056530077ec7c082838529cb4db51ac74653d6bbf4c15e6e4871c9222_right.png,128,96,67,55,59,49,76,64,17,14,good_for_synthetic
73,clean/06224912d395e3d278ffb63a5799f12d144f583a0be6c22717603daa146bd571_left.png,06224912d395e3d278ffb63a5799f12d144f583a0be6c22717603daa146bd571_left.png,128,96,65,50,60,45,69,55,9,10,good_for_synthetic
74,clean/0667469741a1cea57ce748aa5b5c45d29b95710f6c04234e6a8ac9630775e2ac_left.png,0667469741a1cea57ce748aa5b5c45d29b95710f6c04234e6a8ac9630775e2ac_left.png,128,96,68,49,64,45,73,54,9,8,good_for_synthetic
75,clean/0667469741a1cea57ce748aa5b5c45d29b95710f6c04234e6a8ac9630775e2ac_right.png,0667469741a1cea57ce748aa5b5c45d29b95710f6c04234e6a8ac9630775e2ac_right.png,128,96,65,48,61,44,72,53,11,9,good_for_synthetic
76,clean/0693229306ed3651bd1bb89d99053bb5b7a4652189eb357b61769a8445665abd_left.png,0693229306ed3651bd1bb89d99053bb5b7a4652189eb357b61769a8445665abd_left.png,128,96,72,47,65,42,78,53,12,11,good_for_synthetic
77,clean/0693229306ed3651bd1bb89d99053bb5b7a4652189eb357b61769a8445665abd_right.png,0693229306ed3651bd1bb89d99053bb5b7a4652189eb357b61769a8445665abd_right.png,128,96,73,49,66,43,80,55,14,11,good_for_synthetic
78,clean/06b83bb80346b8e70459f0e22fd9ab5d57cb814fce993995a2f9d43f9db09a43_left.png,06b83bb80346b8e70459f0e22fd9ab5d57cb814fce993995a2f9d43f9db09a43_left.png,128,96,66,50,61,44,72,55,11,11,good_for_synthetic
79,clean/06b83bb80346b8e70459f0e22fd9ab5d57cb814fce993995a2f9d43f9db09a43_right.png,06b83bb80346b8e70459f0e22fd9ab5d57cb814fce993995a2f9d43f9db09a43_right.png,128,96,63,51,57,46,69,56,12,11,good_for_synthetic
80,clean/06bdc8b7d10915bad6abe24d46abd344e7b32d0b9a438e62e8eff6fb4bf13f99_right.png,06bdc8b7d10915bad6abe24d46abd344e7b32d0b9a438e62e8eff6fb4bf13f99_right.png,128,96,61,48,55,43,68,55,12,12,good_for_synthetic
81,clean/0791b553b624c71b78ccb800cca4802ed2b0b636efef8f22f09a62794c876531_left.png,0791b553b624c71b78ccb800cca4802ed2b0b636efef8f22f09a62794c876531_left.png,128,96,66,48,58,42,73,55,14,13,bad_for_synthetic
82,clean/0791b553b624c71b78ccb800cca4802ed2b0b636efef8f22f09a62794c876531_right.png,0791b553b624c71b78ccb800cca4802ed2b0b636efef8f22f09a62794c876531_right.png,128,96,63,49,58,44,69,55,11,11,bad_for_synthetic
83,clean/07a1906620e0d44416a6c5f400136e446e0e4d517861cbba40e1a09ae6761f0a_left.png,07a1906620e0d44416a6c5f400136e446e0e4d517861cbba40e1a09ae6761f0a_left.png,128,96,58,47,54,44,63,51,9,7,good_for_synthetic
84,clean/07a1906620e0d44416a6c5f400136e446e0e4d517861cbba40e1a09ae6761f0a_right.png,07a1906620e0d44416a6c5f400136e446e0e4d517861cbba40e1a09ae6761f0a_right.png,128,96,63,50,59,46,68,54,9,9,good_for_synthetic
85,clean/07fa290338a3ca2707dd8a3d8c01c72054141cf98b0df07bdc55b02357296fff_left.png,07fa290338a3ca2707dd8a3d8c01c72054141cf98b0df07bdc55b02357296fff_left.png,128,96,66,48,61,43,73,54,12,10,good_for_synthetic
86,clean/07fa290338a3ca2707dd8a3d8c01c72054141cf98b0df07bdc55b02357296fff_right.png,07fa290338a3ca2707dd8a3d8c01c72054141cf98b0df07bdc55b02357296fff_right.png,128,96,64,50,58,46,69,56,11,10,good_for_synthetic
87,clean/08da676b758889f3acead78ceee8d2de00e7f11d76df53afd54ced2c178fc274_left.png,08da676b758889f3acead78ceee8d2de00e7f11d76df53afd54ced2c178fc274_left.png,128,96,70,50,65,46,76,56,12,10,bad_for_synthetic
88,clean/08da676b758889f3acead78ceee8d2de00e7f11d76df53afd54ced2c178fc274_right.png,08da676b758889f3acead78ceee8d2de00e7f11d76df53afd54ced2c178fc274_right.png,128,96,67,50,60,44,74,58,14,13,good_for_synthetic
89,clean/08ee54a6f418b1925c8fb79be2e82899d7b50e4afa6fb66cc3005cfc90ae5a6d_left.png,08ee54a6f418b1925c8fb79be2e82899d7b50e4afa6fb66cc3005cfc90ae5a6d_left.png,128,96,61,50,55,43,67,58,13,15,good_for_synthetic
90,clean/08ee54a6f418b1925c8fb79be2e82899d7b50e4afa6fb66cc3005cfc90ae5a6d_right.png,08ee54a6f418b1925c8fb79be2e82899d7b50e4afa6fb66cc3005cfc90ae5a6d_right.png,128,96,65,52,58,44,73,59,16,15,good_for_synthetic
91,clean/0908dd74d50e702dc17b57a5b2efc9be847aa743231888ee71f8d9d4c492f302_left.png,0908dd74d50e702dc17b57a5b2efc9be847aa743231888ee71f8d9d4c492f302_left.png,128,96,64,50,57,44,72,58,14,14,good_for_synthetic
92,clean/0908dd74d50e702dc17b57a5b2efc9be847aa743231888ee71f8d9d4c492f302_right.png,0908dd74d50e702dc17b57a5b2efc9be847aa743231888ee71f8d9d4c492f302_right.png,128,96,53,49,47,42,59,56,12,14,good_for_synthetic
93,clean/090b13e5f17fc7767bdfcfae8b163fbe74f57ae164597c320abb980af30f3cb2_left.png,090b13e5f17fc7767bdfcfae8b163fbe74f57ae164597c320abb980af30f3cb2_left.png,128,96,63,51,57,46,70,57,12,11,good_for_synthetic
94,clean/090b13e5f17fc7767bdfcfae8b163fbe74f57ae164597c320abb980af30f3cb2_right.png,090b13e5f17fc7767bdfcfae8b163fbe74f57ae164597c320abb980af30f3cb2_right.png,128,96,66,53,59,45,74,59,14,14,good_for_synthetic
95,clean/09d1f6105650c24699f6c2b4534984b7a918d9a6e7985cc606195351c5201fef_left.png,09d1f6105650c24699f6c2b4534984b7a918d9a6e7985cc606195351c5201fef_left.png,128,96,50,48,43,41,60,55,17,15,good_for_synthetic
96,clean/09d1f6105650c24699f6c2b4534984b7a918d9a6e7985cc606195351c5201fef_right.png,09d1f6105650c24699f6c2b4534984b7a918d9a6e7985cc606195351c5201fef_right.png,128,96,60,44,54,39,68,51,14,13,good_for_synthetic
97,clean/09e51df7e850a1d54dfecdfae94632d7268911c3423f013ccc68815fcd5bf497_left.png,09e51df7e850a1d54dfecdfae94632d7268911c3423f013ccc68815fcd5bf497_left.png,128,96,51,49,47,45,56,54,9,9,bad_for_synthetic
98,clean/09e51df7e850a1d54dfecdfae94632d7268911c3423f013ccc68815fcd5bf497_right.png,09e51df7e850a1d54dfecdfae94632d7268911c3423f013ccc68815fcd5bf497_right.png,128,96,55,55,51,51,59,59,9,8,good_for_synthetic
99,clean/09fa8682c353bca5a775339626151e83f512c87c1b733b3c839a3442df825838_left.png,09fa8682c353bca5a775339626151e83f512c87c1b733b3c839a3442df825838_left.png,128,96,65,43,61,39,70,48,9,9,good_for_synthetic
100,clean/09fa8682c353bca5a775339626151e83f512c87c1b733b3c839a3442df825838_right.png,09fa8682c353bca5a775339626151e83f512c87c1b733b3c839a3442df825838_right.png,128,96,61,43,58,40,65,48,8,8,good_for_synthetic
101,clean/0a06b85c62695a87097f872b85ee578b2ad959f3d1e4da2ff8799e4af0e5bd57_left.png,0a06b85c62695a87097f872b85ee578b2ad959f3d1e4da2ff8799e4af0e5bd57_left.png,128,96,66,45,55,35,76,56,21,21,good_for_synthetic
102,clean/0a06b85c62695a87097f872b85ee578b2ad959f3d1e4da2ff8799e4af0e5bd57_right.png,0a06b85c62695a87097f872b85ee578b2ad959f3d1e4da2ff8799e4af0e5bd57_right.png,128,96,62,49,54,41,70,58,16,17,good_for_synthetic
103,clean/0a274c26624c0d816c2ec7145cce7c47e536c3d19d3c3faac5aa0277c1f2c26a_right.png,0a274c26624c0d816c2ec7145cce7c47e536c3d19d3c3faac5aa0277c1f2c26a_right.png,128,96,38,52,31,42,44,61,13,19,bad_for_synthetic
104,clean/0a4cb3ea195539926747a91f8fee48e9a838fd21d1c801c38e62fe3009dd1bb2_left.png,0a4cb3ea195539926747a91f8fee48e9a838fd21d1c801c38e62fe3009dd1bb2_left.png,128,96,66,55,58,46,75,64,16,18,good_for_synthetic
105,clean/0a4cb3ea195539926747a91f8fee48e9a838fd21d1c801c38e62fe3009dd1bb2_right.png,0a4cb3ea195539926747a91f8fee48e9a838fd21d1c801c38e62fe3009dd1bb2_right.png,128,96,65,54,56,45,73,65,17,20,good_for_synthetic
106,clean/0a7eb6fcb922921db9aa75a3e4dd44224cb9cd9720ffe808d0bbb0a4f6c2f4c1_left.png,0a7eb6fcb922921db9aa75a3e4dd44224cb9cd9720ffe808d0bbb0a4f6c2f4c1_left.png,128,96,66,53,56,45,75,61,19,17,good_for_synthetic
107,clean/0a7eb6fcb922921db9aa75a3e4dd44224cb9cd9720ffe808d0bbb0a4f6c2f4c1_right.png,0a7eb6fcb922921db9aa75a3e4dd44224cb9cd9720ffe808d0bbb0a4f6c2f4c1_right.png,128,96,63,48,53,41,72,55,19,15,good_for_synthetic
108,clean/0a80d17b5d80e36624199063b4a676e4e43923e01689dc75d067c04590693e5c_right.png,0a80d17b5d80e36624199063b4a676e4e43923e01689dc75d067c04590693e5c_right.png,128,96,62,50,55,42,72,59,17,17,good_for_synthetic
